tittle;rooms;price;meters;bathrooms;garage;terrace;zipcode;year;hotels
Piso en avenida Flota de Indias, Ramón de Carranza - Madre Rafols, Sevilla;1 hab.;195;59 m²;1;0;0;41011;1984;2
Piso en avenida Flota de Indias, Sevilla, s/n, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;450;190 m²;3;0;1;41011;0;2
Piso en avenida Hacienda San Antonio, Palmete-Padre Pío-Hacienda San Antonio, Sevilla;3 hab.;127;110 m²;2;1;1;41016;0;1
Piso en avenida Kansas City, 44, Luis Montoto - Santa Justa, Sevilla;4 hab.;309;162 m²;2;0;1;41018;0;5
Piso en avenida Kansas City, Luis Montoto - Santa Justa, Sevilla;2 hab.;300;130 m²;2;1;0;41018;1975;5
Piso en avenida la Aeronáutica, Avenida de las Ciencias, Sevilla;1 hab.;94,5;60 m²;1;1;0;41020;2006;6
Piso en avenida la Aeronáutica, Avenida de las Ciencias, Sevilla;3 hab.;174;114 m²;2;1;1;41020;1989;6
Piso en avenida la Calesera, Juan XXIII, Sevilla;3 hab.;88;70 m²;1;0;0;41006;1971;1
Piso en avenida la Cruz Roja, Cruz Roja - Capuchinos, Sevilla;5 hab.;225;124 m²;3;0;0;41009;1970;2
Piso en avenida la Cruz Roja, Cruz Roja - Capuchinos, Sevilla;5 hab.;225;124 m²;3;0;0;41009;1970;2
Piso en avenida las Asociaciones de Vecinos, La Salle-Avd Manuel del Valle-Las Naciones, Sevilla;3 hab.;174;96 m²;2;0;1;41008;1989;1
Piso en avenida las Leandras, Juan XXIII, Sevilla;2 hab.;147;118 m²;2;0;1;41006;1967;1
Piso en avenida los Claveles, Juan XXIII, Sevilla;3 hab.;99;98 m²;2;0;1;41006;1984;1
Piso en avenida Presidente Adolfo Suarez, Asunción - Adolfo Suárez, Sevilla;5 hab.;725;293 m²;3;1;1;41011;1972;2
Piso en avenida Presidente Adolfo Suarez, Asunción - Adolfo Suárez, Sevilla;4 hab.;350;101 m²;2;0;1;41011;0;2
Piso en avenida República Argentina, Plaza de Cuba - República Argentina, Sevilla;6 hab.;750;266 m²;4;1;1;41011;0;2
Piso en avenida República Argentina, Plaza de Cuba - República Argentina, Sevilla;5 hab.;620;300 m²;3;1;1;41011;1958;2
Piso en avenida San Francisco Javier, 14, San Bernardo-Buhaira-Huerta del Rey, Sevilla;2 hab.;385;107 m²;2;0;1;41018;1985;5
Piso en avenida SAN FRANCISCO JAVIER, s/n, Nervión, Sevilla;4 hab.;595;166 m²;2;0;1;41005;1986;2
Piso en avenida San Juan de la Cruz, Amate, Sevilla;3 hab.;76;66 m²;1;0;0;41006;1957;1
Piso en avenida San Juan de la Salle, 7, Villegas - Los Principes, Sevilla;1 hab.;130,7;61 m²;1;1;0;41011;2020;2
Piso en avenida San Juan de la Salle, 7, Villegas - Los Principes, Sevilla;2 hab.;146,84;70 m²;1;1;0;41011;2020;2
Piso en avenida San Juan de la Salle, 7, Villegas - Los Principes, Sevilla;4 hab.;257,51;126 m²;2;1;1;41011;2020;2
Piso en avenida San Juan de la Salle, 7, Villegas - Los Principes, Sevilla;4 hab.;251,22;126 m²;2;1;1;41011;2020;2
Piso en avenida Sánchez Pizjuán, Doctor Fedriani, Sevilla;3 hab.;140;80 m²;1;0;0;41009;1972;2
Piso en avenida Trabajadores Inmigrantes, Doctor Fedriani, Sevilla;3 hab.;96,5;93 m²;1;0;1;41009;0;2
Piso en avenida Trabajadores Inmigrantes, Doctor Fedriani, Sevilla;3 hab.;97,3;95 m²;1;0;1;41009;0;2
Piso en avenida Virgen de la Esperanza, s/n, Los Bermejales, Sevilla;2 hab.;85;57 m²;1;0;0;41012;1960;3
Piso en Azorín, 203, La Plata, Sevilla;3 hab.;97;96 m²;1;0;1;41006;1970;1
Piso en Bami - Pineda, Sevilla;7 hab.;374,5;172 m²;1;0;0;41013;1929;3
Piso en Bami - Pineda, Sevilla;2 hab.;190;65 m²;1;0;0;41013;1980;3
Piso en Barrau, San Bernardo-Buhaira-Huerta del Rey, Sevilla;5 hab.;592;224 m²;3;1;1;41018;1974;5
Piso en Barriada Almenas, Los Carteros - San Diego, Sevilla;4 hab.;129;98 m²;2;0;0;41015;1982;0
Piso en Barriada de San Diego, Los Carteros - San Diego, Sevilla;4 hab.;113;96 m²;1;0;1;41015;1978;0
Piso en Barriada de San Diego, Los Carteros - San Diego, Sevilla;4 hab.;137,26;96 m²;1;0;1;41015;1978;0
